time,{mapping}.mapping.feasibleMoveDiscreteCommand,{mapping}.mapping.robotStopped,{mapping}.mapping.gripperOpened,{mapping}.mapping.collision,{mapping}.mapping.gripperClosed,{mapping}.mapping.nonfeasibleMoveDiscreteCommand,{mapping}.mapping.moveCompleted,{mapping}.mapping.q0,{mapping}.mapping.q1,{mapping}.mapping.q2,{mapping}.mapping.q3,{mapping}.mapping.q4,{mapping}.mapping.q5,{mapping}.mapping.qd0,{mapping}.mapping.qd1,{mapping}.mapping.qd2,{mapping}.mapping.qd3,{mapping}.mapping.qd4,{mapping}.mapping.qd5,{rmqfmu}.rmqfmu.closeGripperCommand,{rmqfmu}.rmqfmu.openGripperCommand,{rmqfmu}.rmqfmu.moveDiscreteCommand,{rmqfmu}.rmqfmu.MovementArgs_target_X,{rmqfmu}.rmqfmu.MovementArgs_target_Y,{rmqfmu}.rmqfmu.MovementArgs_target_Z,{dmodel}.dmodel.movediscrete,{dmodel}.dmodel.pick,{dmodel}.dmodel.place,{dmodel}.dmodel.target_X,{dmodel}.dmodel.target_Y,{dmodel}.dmodel.target_Z,{dmodel}.dmodel.closing_diameter,{dmodel}.dmodel.closing_speed,{dmodel}.dmodel.closing_force,{dmodel}.dmodel.opening_diameter,{dmodel}.dmodel.opening_speed,{dmodel}.dmodel.opening_force,{dmodel}.dmodel.stop,{dmodel}.dmodel.movejoint,{dmodel}.dmodel.target_q0,{dmodel}.dmodel.target_q1,{dmodel}.dmodel.target_q2,{dmodel}.dmodel.target_q3,{dmodel}.dmodel.target_q4,{dmodel}.dmodel.target_q5,{dmodel}.dmodel.movecartesian,{dmodel}.dmodel.target_x,{dmodel}.dmodel.target_y,{dmodel}.dmodel.target_z,{dmodel}.dmodel.target_rx,{dmodel}.dmodel.target_ry,{dmodel}.dmodel.target_rz,{dmodel}.dmodel.setvelocity,{dmodel}.dmodel.target_v,{dmodel}.dmodel.state
0.0,false,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,0,0,0,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,
0.5,false,true,true,false,false,false,true,9.779471286108787E-7,-0.0025275973506793115,-7.549516567451064E-15,-6.10923137948749E-4,1.0371219151483757E-5,-4.991192049441651E-6,1.290919651175698E-4,-0.011405416508925258,8.881784197001442E-14,-0.02453256953760582,8.50712813704764E-4,0.005514568552111972,false,false,false,0,0,0,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,
1.0,false,true,true,false,false,false,true,6.009651082550249E-6,-6.738024114687491E-4,-7.549516567451064E-15,-3.314855758955737E-4,4.970584101204878E-6,-1.1241422702079618E-4,3.673683236726866E-4,-0.07492245174800675,8.881784197001442E-14,-0.02060587128269775,2.249609191373784E-4,0.006097332107302253,false,false,false,0,0,0,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,
1.5,false,true,true,false,false,false,true,-3.990759263050592E-6,-5.810308590050717E-4,-3.552713678800501E-15,-4.4958599176503355E-4,4.586858638244706E-6,-4.3168993141495804E-5,6.719335612359744E-5,-0.03881844790267846,0.0,-0.012616410730537366,4.6410764156236005E-4,-0.005167895118329934,false,false,true,0,23,1,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,
2.0,false,true,true,false,false,false,true,4.0941634225077905E-6,-0.0017042665194768603,-5.773159728050814E-15,-5.476041357743711E-4,2.6833676254334193E-6,-2.2182490813404954E-4,-2.5367160016998556E-5,0.02585456190988877,0.0,0.009550131006808219,-9.268707425569486E-4,-0.006013846343844293,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
2.5,false,true,true,false,false,false,false,-2.872803182007999E-7,-0.0016144506671498249,-9.325873406851315E-15,-6.450084826079561E-4,9.925599547155883E-6,-2.4617216566369393E-4,-1.6603977419649496E-4,-0.03761812404379308,0.003926990815017546,0.013307876230062306,-0.006404865878462254,0.004136070728400032,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
3.0,true,false,true,false,false,false,false,-0.06451978899382116,-0.05348214237589932,0.0664348704030786,-0.056290451642625694,-0.0713510403623534,-0.04403846987651505,-0.3879959027873608,-0.38244749234862246,0.4751659921593644,-0.42258464972012366,-0.49531064364388644,-0.14830573929343377,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
3.5,true,false,true,false,false,false,false,-0.5668013228629918,-0.5554510695778014,0.5980623842507411,-0.5989147863403854,-0.5976387310826743,-0.06740304961287125,-1.2639345326703988,-1.276737045532417,1.2602093351569172,-1.440018183531008,-1.1949510333226685,0.0030803499160287533,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
4.0,true,false,true,false,false,false,false,-1.1016290949722496,-1.1475755599254711,1.1635739938978222,-1.287360523291146,-1.1215855677160231,-0.0669981831731623,-0.8904382391288153,-1.3240669354366892,1.1258671774166744,-1.5598831942747586,-0.9741198242347235,0.012871287494140779,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
4.5,true,true,true,false,false,false,false,-1.519093017211425,-1.6100967078465045,1.5785788249250938,-1.9701352006909483,-1.4627226456144315,-0.06728680129125708,-0.45326822260360466,-0.46140488075547276,0.3322625612980281,-0.9368951826085193,-0.22054263640281951,0.006365958733843939,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
