time,{dmodel}.dmodel.movediscrete,{dmodel}.dmodel.pick,{dmodel}.dmodel.place,{dmodel}.dmodel.target_X,{dmodel}.dmodel.target_Y,{dmodel}.dmodel.target_Z,{dmodel}.dmodel.closing_diameter,{dmodel}.dmodel.closing_speed,{dmodel}.dmodel.closing_force,{dmodel}.dmodel.opening_diameter,{dmodel}.dmodel.opening_speed,{dmodel}.dmodel.opening_force,{dmodel}.dmodel.stop,{dmodel}.dmodel.movejoint,{dmodel}.dmodel.target_q0,{dmodel}.dmodel.target_q1,{dmodel}.dmodel.target_q2,{dmodel}.dmodel.target_q3,{dmodel}.dmodel.target_q4,{dmodel}.dmodel.target_q5,{dmodel}.dmodel.movecartesian,{dmodel}.dmodel.target_x,{dmodel}.dmodel.target_y,{dmodel}.dmodel.target_z,{dmodel}.dmodel.target_rx,{dmodel}.dmodel.target_ry,{dmodel}.dmodel.target_rz,{dmodel}.dmodel.setvelocity,{dmodel}.dmodel.target_v,{dmodel}.dmodel.state,{mapping}.mapping.feasibleMoveDiscreteCommand,{mapping}.mapping.robotStopped,{mapping}.mapping.gripperOpened,{mapping}.mapping.collision,{mapping}.mapping.gripperClosed,{mapping}.mapping.nonfeasibleMoveDiscreteCommand,{mapping}.mapping.moveCompleted,{mapping}.mapping.q0,{mapping}.mapping.q1,{mapping}.mapping.q2,{mapping}.mapping.q3,{mapping}.mapping.q4,{mapping}.mapping.q5,{mapping}.mapping.qd0,{mapping}.mapping.qd1,{mapping}.mapping.qd2,{mapping}.mapping.qd3,{mapping}.mapping.qd4,{mapping}.mapping.qd5,{mapping}.mapping.qdd0,{mapping}.mapping.qdd1,{mapping}.mapping.qdd2,{mapping}.mapping.qdd3,{mapping}.mapping.qdd4,{mapping}.mapping.qdd5,{mapping}.mapping.t0,{mapping}.mapping.t1,{mapping}.mapping.t2,{mapping}.mapping.t3,{mapping}.mapping.t4,{mapping}.mapping.t5,{rmqfmu}.rmqfmu.closeGripperCommand,{rmqfmu}.rmqfmu.openGripperCommand,{rmqfmu}.rmqfmu.moveDiscreteCommand,{rmqfmu}.rmqfmu.MovementArgs_target_X,{rmqfmu}.rmqfmu.MovementArgs_target_Y,{rmqfmu}.rmqfmu.MovementArgs_target_Z
0.0,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,,false,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,0,0,0
0.5,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,,false,true,true,false,false,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,0,0,0
1.0,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,,false,true,true,false,false,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,0,0,0
1.5,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,,false,true,true,false,false,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,0,0,0
2.0,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,,false,true,true,false,false,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,true,0,23,1
2.5,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove,false,true,true,false,false,false,true,-2.5846787134753626,-1.3422366392663498,1.3616746107684534,-2.0764361820616664,-0.9269164244281214,-0.8488219420062464,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2775576845683407,13.40503195885682,-14.778845750221075,0.049658935989905534,-0.04048869553587237,-0.07075950091664518,false,false,false,0,0,0
3.0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove,false,false,true,false,false,false,true,-1.6817081610309046,-1.7323657474913539,1.6434887091266077,-2.260059972802633,-1.4936493078814905,-0.08090240160097295,0.20943057537078857,-0.09076912701129913,0.06554274260997772,-0.0433337427675724,-0.1330336034297943,0.18359707295894623,0.0,0.0,0.0,0.0,0.0,0.0,1.432226474241436,13.363861828102344,-14.31128991540478,0.04344538980391066,-0.04124426000895146,0.08312745392723511,false,false,false,0,0,0
3.5,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove,true,true,true,false,false,false,true,-1.6658614317523401,-1.7391349277892054,1.6485207716571253,-2.263261934319967,-1.5036662260638636,-0.06729299226869756,8.989740745164454E-4,-1.937702327268198E-4,3.6078551784157753E-4,-8.256721775978804E-5,-9.077204595087096E-5,2.5639141676947474E-4,0.0,0.0,0.0,0.0,0.0,0.0,1.751275704739141,13.95851634784964,-14.715064697883903,0.040439605956727756,-0.054737725201931826,0.06581021447582032,false,false,false,0,0,0
4.0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove,true,true,true,false,false,false,true,-1.6658614317523401,-1.7391349277892054,1.6485207716571253,-2.263261934319967,-1.5036662260638636,-0.06729299226869756,8.989740745164454E-4,-1.937702327268198E-4,3.6078551784157753E-4,-8.256721775978804E-5,-9.077204595087096E-5,2.5639141676947474E-4,0.0,0.0,0.0,0.0,0.0,0.0,1.751275704739141,13.95851634784964,-14.715064697883903,0.040439605956727756,-0.054737725201931826,0.06581021447582032,false,false,false,0,0,0
4.5,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-1.6658099333392542,-1.739235063592428,1.6485798994647425,-2.2632318935790003,-1.5037115255938929,-0.06730491319765264,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4736487627447628,14.03369593799343,-14.784116084029783,0.04211874566892044,-0.05633352095321697,0.06236678182912823,false,false,false,0,0,0
