time,{mapping}.mapping.feasibleMoveDiscreteCommand,{mapping}.mapping.robotStopped,{mapping}.mapping.gripperOpened,{mapping}.mapping.collision,{mapping}.mapping.gripperClosed,{mapping}.mapping.nonfeasibleMoveDiscreteCommand,{mapping}.mapping.moveCompleted,{mapping}.mapping.q0,{mapping}.mapping.q1,{mapping}.mapping.q2,{mapping}.mapping.q3,{mapping}.mapping.q4,{mapping}.mapping.q5,{mapping}.mapping.qd0,{mapping}.mapping.qd1,{mapping}.mapping.qd2,{mapping}.mapping.qd3,{mapping}.mapping.qd4,{mapping}.mapping.qd5,{rmqfmu}.rmqfmu.closeGripperCommand,{rmqfmu}.rmqfmu.openGripperCommand,{rmqfmu}.rmqfmu.moveDiscreteCommand,{rmqfmu}.rmqfmu.MovementArgs_target_X,{rmqfmu}.rmqfmu.MovementArgs_target_Y,{rmqfmu}.rmqfmu.MovementArgs_target_Z,{dmodel}.dmodel.movediscrete,{dmodel}.dmodel.pick,{dmodel}.dmodel.place,{dmodel}.dmodel.target_X,{dmodel}.dmodel.target_Y,{dmodel}.dmodel.target_Z,{dmodel}.dmodel.closing_diameter,{dmodel}.dmodel.closing_speed,{dmodel}.dmodel.closing_force,{dmodel}.dmodel.opening_diameter,{dmodel}.dmodel.opening_speed,{dmodel}.dmodel.opening_force,{dmodel}.dmodel.stop,{dmodel}.dmodel.movejoint,{dmodel}.dmodel.target_q0,{dmodel}.dmodel.target_q1,{dmodel}.dmodel.target_q2,{dmodel}.dmodel.target_q3,{dmodel}.dmodel.target_q4,{dmodel}.dmodel.target_q5,{dmodel}.dmodel.movecartesian,{dmodel}.dmodel.target_x,{dmodel}.dmodel.target_y,{dmodel}.dmodel.target_z,{dmodel}.dmodel.target_rx,{dmodel}.dmodel.target_ry,{dmodel}.dmodel.target_rz,{dmodel}.dmodel.setvelocity,{dmodel}.dmodel.target_v,{dmodel}.dmodel.state
0.0,false,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,0,0,0,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,
0.25,false,true,true,false,false,false,true,2.5605272839790416E-6,-0.0010423021003558297,-7.549516567451064E-15,-2.8853417228269507E-4,8.891711854364104E-6,-2.293548488343511E-4,7.593276318829274E-6,0.032491853993921876,0.0,0.003621972812428786,1.51263792602666E-4,0.008392425994330389,false,false,false,0,0,0,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,
0.5,false,true,true,false,false,false,true,-2.3470887962062648E-6,-6.607438925549936E-4,-7.993605777301127E-15,-1.339200936447682E-4,2.8867825929701496E-6,-3.79888962079189E-4,3.104664037856319E-4,-0.017098827580852936,0.0,-0.008779597556696404,3.576401000238226E-4,0.00745883019446241,false,false,false,0,0,0,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,
0.75,false,true,true,false,false,false,true,-4.312047343191239E-6,1.1868026491690387E-4,-7.549516567451064E-15,-1.2276908323327618E-4,6.848341688403536E-6,-1.111539241915871E-4,4.734257010419286E-4,-0.032924849611504915,-8.881784197001442E-14,-0.0018288914566788996,6.3550945839098395E-6,-0.004319219905912866,false,false,false,0,0,0,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,
1.0,false,true,true,false,false,false,true,6.357625319530769E-7,-0.003961466011567438,-7.549516567451064E-15,-6.552258404477485E-4,4.401985294943955E-6,-2.414122281768627E-4,5.076497577860659E-4,0.052878582521299636,8.881784197001442E-14,0.016162814655640633,8.50712813704764E-4,0.005514568552111972,false,false,false,0,0,0,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,
1.25,false,true,true,false,false,false,true,4.603759524268725E-6,-5.822181028505291E-4,-6.661338147750939E-15,-1.5134698989438533E-4,3.534928075588084E-6,-5.412860186826407E-5,-4.4770595613031604E-4,0.0036237124773742186,8.881784197001442E-14,-0.0016184366869787315,-1.726588396699961E-4,-0.004836242017081208,false,false,true,0,23,1,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,
1.5,false,true,true,false,false,false,true,-3.990759263050592E-6,-5.810308590050717E-4,-3.552713678800501E-15,-3.0913730238602E-4,2.7808143912011474E-6,-1.3052775688571217E-4,-3.346940919968305E-4,0.037725440993253395,8.881784197001442E-14,0.015275404348092152,-2.0534868907518425E-4,0.01262926447935824,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
1.75,false,false,true,false,false,false,false,-6.84568875883862E-5,-6.747178695665212E-4,7.559457270289727E-5,-8.779892110939436E-4,-1.0935318774185632E-4,-1.3736401425212819E-5,-0.013489614291284657,-0.05753293253141346,0.003926990758795852,-0.015326719664266235,-0.018123856488739095,-0.01587122289779009,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
2.0,true,false,true,false,false,false,false,-0.06301711005202515,-0.08536985147983822,0.04851110140269155,-0.04628392126563963,-0.05105020281645789,-0.03685280396256729,-0.3735307592586858,-0.4272478608282262,0.31808629818668843,-0.2874774621415338,-0.32900816116737264,-0.14381940484567174,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
2.25,true,false,true,false,false,false,false,-0.17279107176262487,-0.2144222292012241,0.1454547904002914,-0.13756932236299813,-0.15057051913499464,-0.06266158897257679,-0.7262515070951258,-0.8992276588936058,0.6633468838888631,-0.6532811286719703,-0.6717278614808785,-0.07947809617237125,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
