time,{mapping}.mapping.feasibleMoveDiscreteCommand,{mapping}.mapping.robotStopped,{mapping}.mapping.gripperOpened,{mapping}.mapping.collision,{mapping}.mapping.gripperClosed,{mapping}.mapping.nonfeasibleMoveDiscreteCommand,{mapping}.mapping.moveCompleted,{mapping}.mapping.q0,{mapping}.mapping.q1,{mapping}.mapping.q2,{mapping}.mapping.q3,{mapping}.mapping.q4,{mapping}.mapping.q5,{mapping}.mapping.qd0,{mapping}.mapping.qd1,{mapping}.mapping.qd2,{mapping}.mapping.qd3,{mapping}.mapping.qd4,{mapping}.mapping.qd5,{mapping}.mapping.qdd0,{mapping}.mapping.qdd1,{mapping}.mapping.qdd2,{mapping}.mapping.qdd3,{mapping}.mapping.qdd4,{mapping}.mapping.qdd5,{mapping}.mapping.t0,{mapping}.mapping.t1,{mapping}.mapping.t2,{mapping}.mapping.t3,{mapping}.mapping.t4,{mapping}.mapping.t5,{rmqfmu}.rmqfmu.closeGripperCommand,{rmqfmu}.rmqfmu.openGripperCommand,{rmqfmu}.rmqfmu.moveDiscreteCommand,{rmqfmu}.rmqfmu.MovementArgs_target_X,{rmqfmu}.rmqfmu.MovementArgs_target_Y,{rmqfmu}.rmqfmu.MovementArgs_target_Z,{dmodel}.dmodel.movediscrete,{dmodel}.dmodel.pick,{dmodel}.dmodel.place,{dmodel}.dmodel.target_X,{dmodel}.dmodel.target_Y,{dmodel}.dmodel.target_Z,{dmodel}.dmodel.closing_diameter,{dmodel}.dmodel.closing_speed,{dmodel}.dmodel.closing_force,{dmodel}.dmodel.opening_diameter,{dmodel}.dmodel.opening_speed,{dmodel}.dmodel.opening_force,{dmodel}.dmodel.stop,{dmodel}.dmodel.movejoint,{dmodel}.dmodel.target_q0,{dmodel}.dmodel.target_q1,{dmodel}.dmodel.target_q2,{dmodel}.dmodel.target_q3,{dmodel}.dmodel.target_q4,{dmodel}.dmodel.target_q5,{dmodel}.dmodel.movecartesian,{dmodel}.dmodel.target_x,{dmodel}.dmodel.target_y,{dmodel}.dmodel.target_z,{dmodel}.dmodel.target_rx,{dmodel}.dmodel.target_ry,{dmodel}.dmodel.target_rz,{dmodel}.dmodel.setvelocity,{dmodel}.dmodel.target_v,{dmodel}.dmodel.state
0.0,false,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,0,0,0,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,
0.5,false,true,true,false,false,false,true,9.779471286108787E-7,-0.003482147522545276,-7.993605777301127E-15,-6.10923137948749E-4,1.0371219151483757E-5,-4.991192049441651E-6,1.290919651175698E-4,-0.07065971937780953,0.0,-0.02453256953760582,-4.823205649096099E-4,-0.0016209659015054346,0.0,0.0,0.0,0.0,0.0,0.0,-44.8122629909646,40.754667528117594,10.085360098408874,-11.401920280020196,-0.08016041276539361,6.2898941017492245,false,false,false,0,0,0,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,
1.0,false,true,true,false,false,false,true,7.749455654959547E-7,-0.001323617358818474,-7.993605777301127E-15,-1.5134698989438533E-4,6.965940150926997E-6,-6.574300226569463E-5,1.174749631793784E-4,0.0036237124773742186,8.881784197001442E-14,-0.0016184366869787315,-1.726588396699961E-4,-0.004836242017081208,0.0,0.0,0.0,0.0,0.0,0.0,-47.65970892585586,41.04053096095454,10.68270788322655,-1.6301977005890382,0.04646300713352792,7.02440574535034,false,false,false,0,0,0,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,
1.5,false,true,true,false,false,false,true,4.9098705949823795E-6,-7.100316580785915E-4,-5.329070518200751E-15,-1.6103142877810228E-4,7.582502773217925E-6,-2.9699079580591814E-4,1.9312109689196134E-4,0.04395554994358713,-8.881784197001442E-14,0.017608399038593722,4.719441107248302E-4,0.013563347949752403,0.0,0.0,0.0,0.0,0.0,0.0,-45.781823392086146,56.1615118245099,21.640577727801563,6.217307084816037,-0.02686945453403261,3.9723990739776136,false,false,true,0,23,1,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,
2.0,false,true,true,false,false,false,true,2.673943186426442E-6,-0.002124795995535944,-5.773159728050814E-15,-4.1382112733234777E-4,4.569717969804543E-6,-4.2299348579044604E-4,-2.5367160016998556E-5,0.02585456190988877,-8.881784197001442E-14,0.009550131006808219,-9.268707425569486E-4,-0.006013846343844293,0.0,0.0,0.0,0.0,0.0,0.0,-45.85518858883574,41.798404834701884,11.548191328300595,-0.6538191914328115,-0.0474982798027163,0.29863367357461507,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
2.5,false,true,true,false,false,false,false,-8.232297125498889E-5,1.5690957744540768E-4,-7.993605777301127E-15,-5.839179519258053E-4,-7.407542951165524E-5,-3.00567881661884E-4,-0.01800719751230456,-0.05097401165557012,0.015707963214328994,-0.033200505589370974,-0.015711964875375965,-0.019668885381563393,0.0,0.0,0.0,0.0,0.0,0.0,15.647139665509371,58.927175263187436,23.142267555526217,7.455155580491271,-0.7707280121035576,4.8500208938317915,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
3.0,true,false,true,false,false,false,false,-0.0481282181100946,-0.05490417154815086,0.03414125900245324,-0.044195191875163964,-0.03384600940323379,-0.024471650410637036,-0.3057868372483406,-0.413733452219942,0.2513274353893867,-0.31851326596186846,-0.24788706924248588,-0.1444362184233969,0.0,0.0,0.0,0.0,0.0,0.0,207.1626507790649,57.54973501639453,23.383852375657884,16.81809606869844,-1.0433657574000779,11.678408626184611,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
3.5,true,false,true,false,false,false,false,-0.4027670838637287,-0.4566847270381591,0.3659477412296219,-0.41816508522009466,-0.41261655452338886,-0.06776406453576289,-1.150864005872252,-1.1480784949605454,1.1636175580712795,-1.4176076526684072,-1.1782390624067431,-0.013616145031745222,0.0,0.0,0.0,0.0,0.0,0.0,511.66097309721806,60.89588057344756,19.222450448191335,2.793691777972184,-0.793847495207584,-5.277779917098897,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
4.0,true,false,true,false,false,false,false,-0.9763196159830203,-1.1050934287114353,0.9801968709466564,-1.1467761196100943,-0.9400167194789786,-0.06690476944589774,-1.1756513840447562,-1.3107263024614906,1.2413329042800405,-1.5890986262033737,-1.1455443080267345,-0.003987548472838485,0.0,0.0,0.0,0.0,0.0,0.0,790.8593809960369,63.66852937002551,14.371691101988228,-1.2927312570828662,4.529498468789494,-23.121290216734373,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
4.5,true,true,true,false,false,false,false,-1.4593389172921762,-1.657503860152457,1.5296381205603442,-1.9300925565878755,-1.4218527567511652,-0.06735499505125597,-0.665353086759242,-0.581836841984449,0.5843819918816858,-1.1282853471970014,-0.38173020204167046,0.007545531865459296,0.0,0.0,0.0,0.0,0.0,0.0,601.1700001027034,9.289987849031583,-9.062741979051006,-20.711154979526277,-4.555189534558055,3.4230005346422536,false,false,false,0,0,0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
